,0
0,52.82
1,52.82
2,52.82
3,52.83
4,52.83
5,52.82
6,52.82
7,52.82
8,52.83
9,52.83
10,52.83
11,52.83
12,52.82
13,52.82
14,52.82
15,52.82
16,52.82
17,52.81
18,52.82
19,52.82
20,52.82
21,52.82
22,52.82
23,52.83
24,52.83
25,52.82
26,52.82
27,52.83
28,52.83
29,52.82
30,52.82
31,52.83
32,52.82
33,52.82
34,52.82
35,52.82
36,52.83
37,52.83
38,52.82
39,52.83
40,52.82
41,52.82
42,52.82
43,52.82
44,52.82
45,52.82
46,52.82
47,52.83
48,52.82
49,52.83
50,52.83
51,52.83
52,52.82
53,52.83
54,52.82
55,52.82
56,52.82
57,52.83
58,52.82
59,52.82
60,52.82
61,52.82
62,52.83
63,52.82
64,52.83
65,52.82
66,52.82
67,52.82
68,52.82
69,52.83
70,52.82
71,52.83
72,52.82
73,52.82
74,52.83
75,52.82
76,52.82
77,52.82
78,52.83
79,52.83
80,52.83
81,52.83
82,52.83
83,52.82
84,52.83
85,52.83
86,52.82
87,52.82
88,52.82
89,52.82
90,52.83
91,52.83
92,52.83
93,52.82
94,52.83
95,52.83
96,52.83
97,52.82
98,52.82
99,52.82
100,52.82
101,52.82
102,52.83
103,52.83
104,52.82
105,52.82
106,52.82
107,52.83
108,52.82
109,52.83
110,52.83
111,52.82
112,52.82
113,52.82
114,52.82
115,52.82
116,52.82
117,52.82
118,52.82
119,52.82
120,52.82
121,52.83
122,52.82
123,52.82
124,52.82
125,52.82
126,52.82
127,52.82
128,52.82
129,52.82
130,52.82
131,52.82
132,52.82
133,52.82
134,52.82
135,52.82
136,52.82
137,52.82
138,52.82
139,52.82
140,52.83
141,52.83
142,52.82
143,52.82
144,52.82
145,52.82
146,52.82
147,52.82
148,52.82
149,52.82
150,52.82
151,52.82
152,52.82
153,52.82
154,52.83
155,52.82
156,52.82
157,52.82
158,52.83
159,52.82
160,52.82
161,52.82
162,52.82
163,52.82
164,52.83
165,52.83
166,52.82
167,52.82
168,52.83
169,52.83
170,52.82
171,52.82
172,52.82
173,52.83
174,52.82
175,52.82
176,52.82
177,52.82
178,52.83
179,52.83
180,52.83
181,52.82
182,52.82
183,52.82
184,52.81
185,52.81
186,52.83
187,52.82
188,52.82
189,52.82
190,52.82
191,52.82
192,52.82
193,52.82
194,52.82
195,52.82
196,52.82
197,52.82
198,52.82
199,52.82
200,52.82
201,52.82
202,52.83
203,52.82
204,52.82
205,52.82
206,52.83
207,52.83
208,52.82
209,52.82
210,52.82
211,52.83
212,52.82
213,52.83
214,52.82
215,52.83
216,52.83
217,52.82
218,52.82
219,52.82
220,52.82
221,52.82
222,52.82
223,52.82
224,52.82
225,52.82
226,52.83
227,52.82
228,52.81
229,52.82
230,52.82
231,52.82
232,52.83
233,52.82
234,52.83
235,52.82
236,52.83
237,52.83
238,52.83
239,52.83
240,52.83
241,52.83
242,52.83
243,52.83
244,52.83
245,52.83
246,52.83
247,52.83
248,52.83
249,52.83
250,52.82
251,52.83
252,52.83
253,52.82
254,52.83
255,52.83
256,52.83
257,52.83
258,52.83
259,52.83
260,52.83
261,52.83
262,52.82
263,52.83
264,52.83
265,52.82
266,52.83
267,52.83
268,52.83
269,52.83
270,52.82
271,52.82
272,52.83
273,52.83
274,52.83
275,52.83
276,52.83
277,52.83
278,52.82
279,52.82
280,52.82
281,52.82
282,52.82
283,52.83
284,52.82
285,52.82
286,52.82
287,52.82
288,52.83
289,52.82
290,52.82
291,52.82
292,52.82
293,52.83
294,52.83
295,52.82
296,52.82
297,52.83
298,52.83
299,52.82
300,52.83
301,52.83
302,52.82
303,52.83
304,52.82
305,52.82
306,52.82
307,52.82
308,52.82
309,52.82
310,52.82
311,52.82
312,52.81
313,52.82
314,52.82
315,52.83
316,52.83
317,52.83
318,52.82
319,52.82
320,52.82
321,52.83
322,52.83
323,52.82
324,52.82
325,52.82
326,52.81
327,52.83
328,52.83
329,52.83
330,52.82
331,52.82
332,52.82
333,52.82
334,52.82
335,52.82
336,52.82
337,52.82
338,52.82
339,52.82
340,52.82
341,52.82
342,52.83
343,52.82
344,52.82
345,52.82
346,52.82
347,52.82
348,52.83
349,52.83
350,52.82
351,52.82
352,52.82
353,52.82
354,52.82
355,52.82
356,52.82
357,52.82
358,52.82
359,52.82
360,52.82
361,52.82
362,52.83
363,52.82
364,52.82
365,52.81
366,52.82
367,52.81
368,52.82
369,52.82
370,52.81
371,52.83
372,52.82
373,52.82
374,52.81
375,52.81
376,52.81
377,52.81
378,52.81
379,52.83
380,52.82
381,52.82
382,52.81
383,52.82
384,52.82
385,52.82
386,52.82
387,52.82
388,52.82
389,52.81
390,52.82
391,52.83
392,52.82
393,52.82
394,52.82
395,52.82
396,52.82
397,52.82
398,52.82
399,52.82
400,52.82
401,52.82
402,52.82
403,52.81
404,52.82
405,52.82
406,52.82
407,52.82
408,52.83
409,52.82
410,52.82
411,52.82
412,52.82
413,52.82
414,52.81
415,52.82
416,52.81
417,52.82
418,52.81
419,52.82
420,52.82
421,52.82
422,52.82
423,52.82
424,52.82
425,52.82
426,52.82
427,52.83
428,52.82
429,52.82
430,52.81
431,52.82
432,52.82
433,52.82
434,52.82
435,52.82
436,52.81
437,52.82
438,52.83
439,52.82
440,52.83
441,52.82
442,52.83
443,52.82
444,52.83
445,52.83
446,52.82
447,52.82
448,52.82
449,52.83
450,52.82
451,52.82
452,52.82
453,52.83
454,52.82
455,52.82
456,52.82
457,52.82
458,52.82
459,52.83
460,52.82
461,52.81
462,52.83
463,52.82
464,52.82
465,52.82
466,52.83
467,52.83
468,52.81
469,52.82
470,52.81
471,52.83
472,52.82
473,52.82
474,52.82
475,52.81
476,52.82
477,52.82
478,52.83
479,52.83
480,52.83
481,52.82
482,52.83
483,52.82
484,52.82
485,52.83
486,52.82
487,52.83
488,52.82
489,52.83
490,52.83
491,52.83
492,52.83
493,52.83
494,52.83
495,52.83
496,52.83
497,52.83
498,52.82
499,52.82
500,52.83
501,52.83
502,52.82
503,52.83
504,52.82
505,52.83
506,52.82
507,52.83
508,52.83
509,52.82
510,52.83
511,52.83
512,52.82
513,52.82
514,52.82
515,52.83
516,52.82
517,52.83
518,52.82
519,52.82
520,52.82
521,52.83
522,52.82
523,52.82
524,52.83
525,52.82
526,52.82
527,52.83
528,52.83
529,52.82
530,52.82
531,52.83
532,52.83
533,52.82
534,52.83
535,52.82
536,52.83
537,52.82
538,52.83
539,52.82
540,52.83
541,52.82
542,52.82
543,52.82
544,52.82
545,52.82
546,52.82
547,52.81
548,52.82
549,52.82
550,52.83
551,52.82
552,52.83
553,52.82
554,52.83
555,52.82
556,52.81
557,52.83
558,52.83
559,52.83
560,52.82
561,52.83
562,52.82
563,52.82
564,52.82
565,52.82
566,52.83
567,52.82
568,52.83
569,52.83
570,52.83
571,52.83
572,52.82
573,52.82
574,52.82
575,52.83
576,52.82
577,52.82
578,52.82
579,52.82
580,52.83
581,52.82
582,52.83
583,52.83
584,52.83
585,52.83
586,52.83
587,52.83
588,52.81
589,52.82
590,52.82
591,52.82
592,52.82
593,52.82
594,52.82
595,52.82
596,52.83
597,52.82
598,52.83
599,52.83
600,52.81
601,52.82
602,52.82
603,52.82
604,52.82
605,52.82
606,52.82
607,52.82
608,52.81
609,52.82
610,52.82
611,52.81
612,52.82
613,52.82
614,52.81
615,52.81
616,52.82
617,52.82
618,52.82
619,52.83
620,52.82
621,52.82
622,52.82
623,52.82
624,52.83
625,52.82
626,52.82
627,52.81
628,52.81
629,52.82
630,52.82
631,52.82
632,52.82
633,52.81
634,52.82
635,52.83
636,52.82
637,52.82
638,52.82
639,52.82
640,52.82
641,52.83
642,52.82
643,52.82
644,52.82
645,52.82
646,52.82
647,52.82
648,52.82
649,52.83
650,52.82
651,52.83
652,52.82
653,52.82
654,52.82
655,52.82
656,52.82
657,52.82
658,52.82
659,52.82
660,52.82
661,52.82
662,52.82
663,52.83
664,52.81
665,52.82
666,52.83
667,52.82
668,52.82
669,52.83
670,52.82
671,52.83
672,52.82
673,52.82
674,52.82
675,52.82
676,52.83
677,52.82
678,52.82
679,52.82
680,52.83
681,52.82
682,52.83
683,52.82
684,52.82
685,52.83
686,52.82
687,52.82
688,52.82
689,52.82
690,52.82
691,52.83
692,52.82
693,52.82
694,52.82
695,52.82
696,52.82
697,52.82
698,52.82
699,52.82
700,52.83
701,52.82
702,52.82
703,52.81
704,52.82
705,52.82
706,52.83
707,52.83
708,52.82
709,52.82
710,52.82
711,52.82
712,52.82
713,52.83
714,52.82
